"","state","week_end","delay.adj.count.lcl","delay.adj.count.med","delay.adj.count.ucl"
"174","MI","2020-04-11",3234.26029690345,3290.93201248418,3356.94883564085
"175","MI","2020-04-18",3002.18630212463,3064.28424841786,3150.74074935139
"176","MI","2020-04-25",2570.03079357495,2641.00227872237,2756.02724705442
"177","MN","2020-03-07",942.160951216124,942.875620318615,943.675542741813
"178","MN","2020-03-14",873.123984730747,874.007236134428,875.080444614394
"179","MN","2020-03-21",892.400817077544,893.984555934777,895.941506299721
"180","MN","2020-03-28",906.21977551455,908.501910864115,910.883831955856
"181","MN","2020-04-04",918.005601398587,920.607809284581,923.546754018166
"182","MN","2020-04-11",938.50656029621,941.841355979249,945.364573723612
"183","MN","2020-04-18",943.853020872544,947.876207834972,952.401405398929
"184","MN","2020-04-25",1000.30190736524,1005.73959320517,1011.54066008566
"185","MO","2020-03-07",1365.67893278703,1370.29470694268,1374.92167148598
"186","MO","2020-03-14",1281.35597948869,1285.83976391449,1290.43174499997
"187","MO","2020-03-21",1251.69654718022,1256.78137320086,1261.89574949349
"188","MO","2020-03-28",1313.2903858903,1319.28192939696,1325.91883576322
"189","MO","2020-04-04",1268.98920323929,1275.65613224214,1282.83907332647
"190","MO","2020-04-11",1448.95748010944,1457.73199212702,1466.83044101679
"191","MO","2020-04-18",1313.78354723065,1322.6528551189,1332.38498230286
"192","MO","2020-04-25",1337.32840719381,1348.73207403527,1360.16660934753
"193","MS","2020-03-07",648.534636051395,649.823078668183,651.465279537733
"194","MS","2020-03-14",614.958696818686,616.228857623112,617.751447537052
"195","MS","2020-03-21",617.119797394771,618.616804464888,620.183863614026
"196","MS","2020-03-28",688.131276797644,690.017702037744,692.61766874802
"197","MS","2020-04-04",700.575252491304,703.118324447398,705.939906831893
"198","MS","2020-04-11",685.112409667196,687.827993432301,691.312193756151
"199","MS","2020-04-18",725.55749789149,729.084665135274,733.262272092654
"200","MS","2020-04-25",721.175948001635,725.837418535239,731.064863909892
"201","MT","2020-03-07",219.308707994674,219.992528340653,221.281517655929
"202","MT","2020-03-14",218.42904972932,219.166651459455,220.531028758221
"203","MT","2020-03-21",227.862757599712,228.799134614182,230.76530175062
"204","MT","2020-03-28",207.157023316271,208.213069532441,210.36043071842
"205","MT","2020-04-04",177.604304477296,178.774102610499,180.945336452934
"206","MT","2020-04-11",214.812874767489,216.646006128307,219.620084302118
"207","MT","2020-04-18",190.661799675297,192.702027688517,195.756476911715
"208","MT","2020-04-25",179.930149305337,184.044115774293,191.704662410961
"209","ND","2020-03-07",163.104768065945,163.344849700063,163.914465894118
"210","ND","2020-03-14",140.089991532439,140.299491808646,140.78623572872
"211","ND","2020-03-21",119.08767226215,119.256650206521,119.672949654417
"212","ND","2020-03-28",88.0861245308789,88.2585629009827,88.617633960192
"213","ND","2020-04-04",81.1577666066107,81.3682799515015,81.7803786836546
"214","ND","2020-04-11",94.3331411509285,94.6682844210848,95.3171760219987
"215","ND","2020-04-18",103.866639274069,104.589841682887,105.87401465379
"216","ND","2020-04-25",105.847648948392,107.861580641603,110.985758100908
"217","NE","2020-03-07",355.527689376026,356.224826695313,357.219441931076
"218","NE","2020-03-14",339.712432321732,340.504608063272,341.627650793682
"219","NE","2020-03-21",349.001883168047,349.916955080547,351.22588216418
"220","NE","2020-03-28",327.311154669759,328.38357495554,329.716142270995
"221","NE","2020-04-04",304.513696299273,305.926094772608,307.959205860436
"222","NE","2020-04-11",319.200246024478,321.139217613261,323.661230691018
"223","NE","2020-04-18",279.454991197544,281.464743056573,284.050700883206
"224","NE","2020-04-25",297.328478290553,300.812121671796,305.206973571868
"225","NH","2020-03-07",267.215047377219,267.623892395788,268.304956364501
"226","NH","2020-03-14",238.2489132675,238.731115592789,239.42216769941
"227","NH","2020-03-21",252.298188620962,252.829312766283,253.587866067406
"228","NH","2020-03-28",258.631292399556,259.263688673996,260.123166347315
"229","NH","2020-04-04",245.64340579997,246.220553733806,247.041248670124
"230","NH","2020-04-11",268.935130694468,269.614436219709,270.590991412707
"231","NH","2020-04-18",241.888482946852,242.563635054569,243.628614072624
"232","NH","2020-04-25",270.417969818431,271.299500370325,272.6078789441
"233","NJ","2020-03-07",1510.17035343947,1515.31439457472,1521.19927615061
"234","NJ","2020-03-14",1475.02141537314,1480.18522514523,1486.47889644971
"235","NJ","2020-03-21",1595.15123288106,1600.87396852644,1608.55525589375
"236","NJ","2020-03-28",2123.37243130571,2132.30875910654,2144.19231880941
"237","NJ","2020-04-04",3468.79910172132,3485.40884672452,3506.53660275483
"238","NJ","2020-04-11",4631.88846480517,4658.40965492777,4693.45015742485
"239","NJ","2020-04-18",4522.29498647488,4550.94296025344,4590.3166358998
"240","NJ","2020-04-25",3628.86709290257,3660.53278488593,3709.78879688875
"241","NM","2020-03-07",389.802914508582,392.262824965183,395.020073530936
"242","NM","2020-03-14",335.630592509798,337.863488277497,340.228328767927
"243","NM","2020-03-21",380.078863242786,382.972525596635,385.993664023703
"244","NM","2020-03-28",357.164330699785,360.116545406426,363.200929682111
"245","NM","2020-04-04",397.328382010526,401.007051261609,404.914669019553
"246","NM","2020-04-11",400.783868174309,404.955271129962,409.219354487696
"247","NM","2020-04-18",420.277417743031,425.292489057689,430.868489321612
"248","NM","2020-04-25",389.891204428863,395.706291974551,402.391521299541
"249","NV","2020-03-07",534.950487122848,535.862566223598,537.123480713577
"250","NV","2020-03-14",508.367125022983,509.316792168675,510.667614065336
"251","NV","2020-03-21",504.089129592452,505.310092721922,506.842449528277
"252","NV","2020-03-28",533.940167727874,535.82261068833,537.820012301804
"253","NV","2020-04-04",586.429624087804,588.722432649271,591.39766174393
"254","NV","2020-04-11",577.446686126383,580.239896179429,583.668066107225
"255","NV","2020-04-18",539.14094850694,542.478284741504,545.883032919681
"256","NV","2020-04-25",534.132142358755,538.527725110952,542.86189078414
"257","NY","2020-03-07",3122.84945615217,3130.42413097403,3144.20974521862
"258","NY","2020-03-14",3028.81040418751,3036.71397559499,3050.56528174321
"259","NY","2020-03-21",3439.36417039706,3449.02743753286,3465.34631863705
"260","NY","2020-03-28",5199.41386577233,5214.93463434251,5240.37320273763
"261","NY","2020-04-04",9640.34597612338,9672.26668070114,9726.31130913998
"262","NY","2020-04-11",12162.0005786179,12205.3876485925,12273.8172894008
"263","NY","2020-04-18",9902.32457971192,9946.08392100474,10005.207832562
"264","NY","2020-04-25",7150.06772205485,7190.65297719943,7246.64611522647
"265","OH","2020-03-07",2408.4677302002,2410.58083800038,2413.38136949017
"266","OH","2020-03-14",2343.20679461733,2345.71744274657,2348.72760313784
"267","OH","2020-03-21",2147.81446635631,2150.37519523014,2153.74596261063
"268","OH","2020-03-28",2246.52514988721,2249.73897384664,2254.3325618235
"269","OH","2020-04-04",2424.0843141904,2428.89545528245,2435.43457346336
"270","OH","2020-04-11",2573.57772669887,2582.79490944513,2593.50005840194
"271","OH","2020-04-18",2583.79706981571,2605.37491586888,2633.70858068207
